datetime,teamperature,humidity
2022-02-19  08:55:47,22,34
2022-02-19  08:56:20,22,34
2022-02-19  08:56:54,22,34
2022-02-19  08:57:27,22,34
2022-02-19  08:58:01,22,34
2022-02-19  08:58:34,22,34
2022-02-19  08:59:08,22,34
2022-02-19  08:59:41,22,34
2022-02-19  09:00:15,22,34
2022-02-19  09:00:48,22,33
2022-02-19  09:01:22,22,33
2022-02-19  09:01:55,22,33
2022-02-19  09:02:29,22,33
2022-02-19  09:03:02,22,33
2022-02-19  09:03:36,22,33
2022-02-19  09:04:09,22,33
2022-02-19  09:04:43,22,33
2022-02-19  09:05:16,22,33
2022-02-19  09:05:50,22,33
2022-02-19  09:06:23,22,33
2022-02-19  09:06:57,22,33
2022-02-19  09:07:30,23,33
2022-02-19  09:08:04,23,33
2022-02-19  09:08:37,23,33
2022-02-19  09:09:11,23,33
2022-02-19  09:09:44,23,33
2022-02-19  09:10:18,23,33
2022-02-19  09:10:51,23,33
2022-02-19  09:11:25,23,33
2022-02-19  09:11:58,23,33
2022-02-19  09:12:32,23,33
2022-02-19  09:13:05,23,33
2022-02-19  09:13:39,23,33
2022-02-19  09:14:12,23,33
2022-02-19  09:14:46,23,33
2022-02-19  09:15:19,23,33
2022-02-19  09:15:53,23,33
2022-02-19  09:16:26,23,33
2022-02-19  09:17:00,23,33
2022-02-19  09:17:33,23,33
2022-02-19  09:18:07,23,33
2022-02-19  09:18:40,23,33
2022-02-19  09:19:14,23,33
2022-02-19  09:19:47,23,33
2022-02-19  09:20:21,23,33
2022-02-19  09:20:54,23,33
2022-02-19  09:21:28,23,33
2022-02-19  09:22:01,23,33
2022-02-19  09:22:35,23,33
2022-02-19  09:23:08,23,33
2022-02-19  09:23:42,23,33
2022-02-19  09:24:15,23,33
